Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Prachi Ingale Wetal,"BDS, MDS - Conservative Dentistry & Endodontics",4 Years Experience Overall  (3 years as specialist),Dentist,"Pimple Saudagar, Pune",100%,(11 votes),₹200
Dr. K. Vijay Babu,BDS,21 Years Experience Overall,Dentist,"Erragadda, Hyderabad",0,0,₹300
Dr. Balajee Krishna,"BDS, MDS - Orthodontics",33 Years Experience Overall  (29 years as specialist),Dentist,"Malleswaram, Bangalore",0,0,₹500
Dr. Anoop Jain,"BDS, MDS - Prosthodontist And Crown Bridge",14 Years Experience Overall,Dentist,"Rohini, Delhi",99%,(612 votes),₹200
Dr. Raunak Mehta,"BDS, MDS - Periodontics",10 Years Experience Overall  (6 years as specialist),Dentist,"Andheri West, Mumbai",99%,(97 votes),₹200
Dr. Raj Shah,PhD - Orthodontics & Dentofacial Orthopaedics,13 Years Experience Overall  (9 years as specialist),Dentist,"Kemps Corner, Mumbai",98%,(44 votes),₹500
Dr. Heena Gandhi,"BDS, MDS - Conservative Dentistry & Endodontics",14 Years Experience Overall  (10 years as specialist),Dentist,"Shalimar Bagh, Delhi",0,0,₹300
Dr. Anuj Manocha,BDS,12 Years Experience Overall,Dentist,"RK Puram, Delhi",97%,(35 votes),₹300
Dr. Parul Gupta,"BDS, MDS - Orthodontics",20 Years Experience Overall  (15 years as specialist),Dentist,"Rohini, Delhi",97%,(323 votes),₹300
Dr. Rashmi Bolli Bandewar,"BDS, MDS - Conservative Dentistry & Endodontics",11 Years Experience Overall  (4 years as specialist),Dentist,"Wadgaon Sheri, Pune",99%,(67 votes),₹300
Dr. Rashika Vijan,BDS,20 Years Experience Overall,Dentist,"Khar West, Mumbai",100%,(12 votes),₹1250
Dr. Hetal Popat,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS, MOrth",11 Years Experience Overall  (7 years as specialist),Dentist,"Sarjapur Road, Bangalore",98%,(122 votes),₹500
Dr. Sreesha N,"BDS, MDS - Periodontics",18 Years Experience Overall  (6 years as specialist),Dentist,"Yelahanka New Town, Bangalore",100%,(15 votes),₹300
Dr. Divya Chandak,"BDS, MDS - Prosthodontist And Crown Bridge",5 Years Experience Overall,Dentist,"Pimple Nilakh, Pune",0,0,₹300
Dr. Arpita,"BDS, MDS - Periodontology and Oral Implantology",7 Years Experience Overall,Dentist,"Ameerpet, Hyderabad",100%,(121 votes),₹300
Dr. Rati Chadha,"BDS, MDS - Prosthodontics",14 Years Experience Overall,Dentist,"Bandra West, Mumbai",99%,(624 votes),₹500
Dr. Goutham Kandula,"BDS, MDS - Oral & Maxillofacial Surgery",25 Years Experience Overall,Dentist,"SR Nagar, Hyderabad",96%,(51 votes),₹400
Dr. Riddhi Rathi,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",15 Years Experience Overall  (10 years as specialist),Dentist,"Anna Nagar, Chennai",99%,(864 votes),₹300
Dr. V.K.Vignesh,BDS,6 Years Experience Overall,Dentist,"Gowrivakkam, Chennai",100%,(91 votes),₹150
Dr. Pavan T.P,"BDS, MDS - Prosthodontist And Crown Bridge",13 Years Experience Overall,Dentist,"Rajarajeshwarinagar, Bangalore",99%,(226 votes),₹350
Dr. Smitha Maria Augustin,BDS,10 Years Experience Overall  (9 years as specialist),Dentist,"Indiranagar, Bangalore",100%,(35 votes),₹300
Dr. Rajendra Sankpal,"BDS, Fellowship in Oral implantlogy, Fellowship and Diplomate in Implantology from ICOI (USA)",30 Years Experience Overall,Dentist,"Powai, Mumbai",96%,(547 votes),₹600
Dr. Mahesh .M. Lalwani,"BDS, MDS - Oral Pathology and Oral Microbiology",43 Years Experience Overall,Dentist,"Malabar Hill, Mumbai",99%,(804 votes),₹1000
Dr. Ritika Arora,"BDS, MDS - Periodontics",21 Years Experience Overall  (20 years as specialist),Dentist,"Khar West, Mumbai",96%,(252 votes),₹800
Dr. K C Vignesh,"BDS, MDS - Paedodontics And Preventive Dentistry",9 Years Experience Overall  (4 years as specialist),Dentist,"Porur, Chennai",100%,(41 votes),₹500
Dr. Sonal Malguria,BDS,25 Years Experience Overall,Dentist,"Santacruz West, Mumbai",98%,(171 votes),₹200
Dr. Shyamal Anand Lad,BDS,8 Years Experience Overall,Dentist,"Cuffe Parade, Mumbai",100%,(30 votes),₹300
Dr. Sabeena Latheef,BDS,4 Years Experience Overall,Dentist,"Goregaon, Mumbai",100%,(19 votes),0
Dr. Shivani Nivedita,"BDS, MDS - Orthodontics",12 Years Experience Overall  (6 years as specialist),Dentist,"Dwarka Sector 22, Delhi",98%,(51 votes),₹500
Dr. Praveen Rajesh,"BDS, MDS - Conservative Dentistry & Endodontics, Fellowship in Dental Surgery of the Royal College of Surgeons of England [(FDSRCS) (Eng)], United Kingdom",13 Years Experience Overall,Dentist,"Anna Nagar West, Chennai",100%,(185 votes),₹300
Dr. Ashish Joshi,BDS,7 Years Experience Overall,Dentist,"Keshav Nagar, Pune",100%,(44 votes),₹300
Dr. Rahul Yadav,BDS,9 Years Experience Overall,Dentist,"Ravet, Pune",96%,(255 votes),₹300
Dr. Jayabhakyalakshmi.C,BDS,5 Years Experience Overall,Dentist,"Thoraipakkam, Chennai",0,0,₹200
Dr. Prathap sekhar,BDS,13 Years Experience Overall,Dentist,"Anna Nagar, Chennai",100%,(56 votes),₹200
Dr. Diksha Tahilramani Batra,"BDS, MDS - Prosthodontics, FICOI",15 Years Experience Overall,Dentist,"Bandra West, Mumbai",98%,(652 votes),₹1000
Dr. Anubha Jain,BDS,8 Years Experience Overall,Dentist,"Fort, Mumbai",99%,(93 votes),₹1000
Dr. Nivethini Tamilselvan,BDS,3 Years Experience Overall,Dentist,"Pallikaranai, Chennai",0,0,₹100
Dr. Sanjeev K Garg,"BDS, Certificate of Oral Implantology",28 Years Experience Overall,Dentist,"Pitampura, Delhi",98%,(179 votes),₹500
Dr. Sagar J Abichandani,"BDS, MDS - Prosthodontics",13 Years Experience Overall,Dentist,"Chembur, Mumbai",97%,(59 votes),₹500
Dr. Nipaj S. Ashar,BDS,23 Years Experience Overall,Dentist,"Matunga, Mumbai",99%,(542 votes),₹500
Dr. Baswaraj Biradar,BDS,25 Years Experience Overall,Dentist,"Sahakaranagar, Bangalore",99%,(2108 votes),₹400
Dr. Girish Gaba,BDS,16 Years Experience Overall,Dentist,"Kurla West, Mumbai",99%,(242 votes),₹500
Dr. Sharan Kumar,"BDS, MDS - Conservative Dentistry & Endodontics",12 Years Experience Overall,Dentist,"Adyar, Chennai",0,0,₹700
Dr. Jayaram,"BDS, MDS - Paedodontics And Preventive Dentistry",28 Years Experience Overall,Dentist,"Ashoknagar, Bangalore",0,0,₹800
Dr. Subbaiah Naidu,"BDS, MDS - Oral & Maxillofacial Surgery",12 Years Experience Overall,Dentist,"Banjara Hills, Hyderabad",100%,(40 votes),₹350
Dr. Gowtham Kattamuri,"BDS, MDS - Conservative Dentistry & Endodontics",15 Years Experience Overall,Dentist,"Banjara Hills, Hyderabad",88%,(17 votes),₹300
Dr. L.Vijay Amirtharaj,"MDS - Conservative Dentistry & Endodontics, BDS",20 Years Experience Overall,Dentist,"Velachery, Chennai",0,0,₹500
Dr. R.Megha,"BDS, MDS - Conservative Dentistry & Endodontics",5 Years Experience Overall,Dentist,"LB Nagar, Hyderabad",0,0,₹200
Dr. K Kiran Kumar,"BDS, MDS - Orthodontics, Fellowship in Oral implantlogy",25 Years Experience Overall  (21 years as specialist),Dentist,"Vidyanagar, Hyderabad",99%,(755 votes),₹300
Dr. Arvind Nahata,"BDS, MDS - Prosthodontist And Crown Bridge",10 Years Experience Overall,Dentist,"Himayat Nagar, Hyderabad",100%,(172 votes),₹300
Dr. Aditya Sandeep Kodati,BDS,15 Years Experience Overall,Dentist,"Domalguda, Hyderabad",98%,(130 votes),₹400
Dr. Tanvi Jha,BDS,10 Years Experience Overall,Dentist,"Chembur, Mumbai",100%,(33 votes),₹700
Dr. Pritee Ray,BDS,14 Years Experience Overall,Dentist,"Sarjapur Road, Bangalore",100%,(61 votes),₹300
Dr. Nasiha Fathima Z,"BDS, MDS - Periodontics",12 Years Experience Overall  (7 years as specialist),Dentist,"Bilekahalli, Bangalore",99%,(114 votes),₹250
Dr. Swati Ravjiani,"BDS, MDS - Oral Medicine and Radiology",29 Years Experience Overall,Dentist,"Ghatkopar East, Mumbai",99%,(80 votes),₹750
Dr. Sonia Anare,"BDS, MDS - Conservative Dentistry & Endodontics",13 Years Experience Overall,Dentist,"Parel, Mumbai",100%,(20 votes),₹500
Dr. Pradeep Kumar,BDS,11 Years Experience Overall,Dentist,"Tarnaka, Hyderabad",0,0,₹200
Dr. Neha Agarwal,BDS,8 Years Experience Overall,Dentist,"Mira Bhayandar, Mumbai",0,0,₹200
Dr. Preethi Naidu,BDS,12 Years Experience Overall,Dentist,"BTM Layout 1st Stage, Bangalore",0,0,₹300
Dr. Meena Juyal,"BDS, MDS - Paedodontics And Preventive Dentistry",12 Years Experience Overall  (5 years as specialist),Dentist,"Hadapsar, Pune",100%,(32 votes),₹300
Dr. Priti Munde,"BDS, Diploma in Cosmetic Dentistry",14 Years Experience Overall,Dentist,"Model Colony, Pune",98%,(343 votes),₹500
Dr. Anupama Pai,BDS,24 Years Experience Overall,Dentist,"Perungudi, Chennai",98%,(179 votes),₹200
Dr. Mandakini,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",12 Years Experience Overall,Dentist,"Jayanagar, Bangalore",100%,(11 votes),₹300
Dr. Deepak Nakra,"BDS, Fellowship in Oral implantlogy, Certificate of Oral Implantology",22 Years Experience Overall,Dentist,"Punjabi Bagh, Delhi",97%,(29 votes),₹500
Dr. Sajan Subbaiah,BDS,14 Years Experience Overall,Dentist,"Koramangala, Bangalore",99%,(261 votes),₹350
Dr. Veena Sura,BDS,16 Years Experience Overall,Dentist,"Manikonda, Hyderabad",95%,(20 votes),₹300
Dr. Vidhi Walia Mishra,"BDS, MDS - Paedodontics And Preventive Dentistry",9 Years Experience Overall  (6 years as specialist),Dentist,"Preet Vihar, Delhi",98%,(118 votes),₹400
Dr. Vandana Viswanath,BDS,10 Years Experience Overall,Dentist,"Powai, Mumbai",0,0,₹300
Dr. Rahul R. Bagrecha,"MDS - Oral & Maxillofacial Surgery, BDS",17 Years Experience Overall  (11 years as specialist),Dentist,"Kharadi, Pune",99%,(186 votes),₹300
Dr. Nivethitha Mohan,"BDS, MDS - Oral & Maxillofacial Surgery",6 Years Experience Overall,Dentist,"Mylapore, Chennai",0,0,₹500
Dr. Esha Fegde,BDS,7 Years Experience Overall,Dentist,"Dadar West, Mumbai",0,0,₹300
Dr. Kunal Kunjir,"BDS, MDS - Conservative Dentistry & Endodontics",10 Years Experience Overall  (9 years as specialist),Dentist,"Hadapsar, Pune",0,0,₹200
Dr. Neetu Punhani,"MDS - Oral Medicine and Radiology, BDS",18 Years Experience Overall,Dentist,"Kasturi nagar, Bangalore",88%,(51 votes),₹300
Dr. Arpita,"BDS, MDS - Periodontology and Oral Implantology",7 Years Experience Overall,Dentist,"Chembur East, Mumbai",100%,(119 votes),₹300
Dr. Tasmiya Kouser,BDS,9 Years Experience Overall,Dentist,"Lingarajapuram, Bangalore",100%,(21 votes),₹200
Dr. Lavanya B,"BDS, Certificate of Oral Implantology",16 Years Experience Overall  (15 years as specialist),Dentist,"Madhapur, Hyderabad",93%,(307 votes),₹400
Dr. Aarushi Dogra,"BDS, MDS - Conservative Dentistry & Endodontics",10 Years Experience Overall  (8 years as specialist),Dentist,"Dwarka Sector 7, Delhi",100%,(34 votes),₹400
Dr. Anjali Jaiswal,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",6 Years Experience Overall  (2 years as specialist),Dentist,"Mira Bhayandar, Mumbai",0,0,₹200
Dr. Praveena,BDS,22 Years Experience Overall,Dentist,"Kondapur, Hyderabad",97%,(150 votes),₹400
Dr. Madhura Kaluskar Burute,"BDS, MDS - Prosthodontist And Crown Bridge",7 Years Experience Overall,Dentist,"Pimpri-Chinchwad, Pune",0,0,₹200
Dr. Aditi Gaur,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11 Years Experience Overall  (7 years as specialist),Dentist,"Mulund West, Mumbai",100%,(15 votes),₹200
Dr. Mahesh Mali,BDS,9 Years Experience Overall,Dentist,"Viman Nagar, Pune",97%,(37 votes),₹300
Dr. Shipra Jhawar,BDS,7 Years Experience Overall  (5 years as specialist),Dentist,"Walkeshwar, Mumbai",100%,(49 votes),₹300
Dr. Sunil Pati,BDS,9 Years Experience Overall,Dentist,"Begumpet, Hyderabad",0,0,₹300
Dr. Anwar Syed,"BDS, MDS - Oral & Maxillofacial Surgery",13 Years Experience Overall,Dentist,"Panathur, Bangalore",99%,(315 votes),₹300
Dr. Sushmetha Prasanna,BDS,5 Years Experience Overall,Dentist,"T Nagar, Chennai",0,0,₹200
Dr. Spina Mehta,BDS,11 Years Experience Overall,Dentist,"Charni Road, Mumbai",100%,(79 votes),₹300
Dr. Madhuram,"BDS, MDS - Conservative Dentistry ",22 Years Experience Overall  (21 years as specialist),Dentist,"Kilpauk, Chennai",0,0,₹300
Dr. Vivek Matmari,BDS,19 Years Experience Overall,Dentist,"Kachiguda, Hyderabad",100%,(36 votes),₹400
Dr. Sridevi Shetty,"MDS - Periodontics, BDS",15 Years Experience Overall  (8 years as specialist),Dentist,"Sahakaranagar, Bangalore",98%,(58 votes),₹300
Dr. Akshay Bhavthankar,"BDS, MDS - Conservative Dentistry ",11 Years Experience Overall  (4 years as specialist),Dentist,"Bavdhan, Pune",100%,(16 votes),₹300
Dr. Rohan Virani,"BDS, MDS - Oral Medicine and Radiology",16 Years Experience Overall  (15 years as specialist),Dentist,"Mulund West, Mumbai",95%,(495 votes),₹500
Dr. Ashna Khanna,"BDS, MDS - Paedodontics And Preventive Dentistry",12 Years Experience Overall,Dentist,"Saket, Delhi",100%,(75 votes),₹500
Dr. Col. Saroj Kumar Ojha,"BDS, MDS - Periodontics",40 Years Experience Overall  (32 years as specialist),Dentist,"Dwarka, Delhi",97%,(451 votes),₹500
Dr. Jayeeta Verma,"BDS, MDS - Conservative Dentistry ",13 Years Experience Overall,Dentist,"Chembur, Mumbai",0,0,₹499
Dr. Ramakanth Reddy Dubbudu,"MDS - Oral & Maxillofacial Surgery, BDS",20 Years Experience Overall,Dentist,"Gachibowli, Hyderabad",0,0,₹500
Dr. Lakshmi,"BDS, MDS - Prosthodontics",26 Years Experience Overall,Dentist,"Anna Nagar, Chennai",98%,(146 votes),₹400
Dr. Suhas Prabhakar,"BDS, MDS - Oral & Maxillofacial Surgery",13 Years Experience Overall,Dentist,"Bannerghatta Road, Bangalore",98%,(42 votes),₹300
Dr. Vandana James,"MDS - Conservative Dentistry & Endodontics, BDS",14 Years Experience Overall,Dentist,"Rajakilpakkam, Chennai",93%,(15 votes),₹500
Dr. Sneh Mehta,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11 Years Experience Overall  (6 years as specialist),Dentist,"Ghatkopar East, Mumbai",100%,(38 votes),₹500
Dr. Suresh Isawe,BDS,41 Years Experience Overall,Dentist,"Malad West, Mumbai",94%,(218 votes),₹750
Dr. Shailesh Rojekar,"MDS, BDS",30 Years Experience Overall,Dentist,"Prabhadevi, Mumbai",96%,(141 votes),₹800
Dr. Amit Sagar,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14 Years Experience Overall  (8 years as specialist),Dentist,"Vasant Kunj, Delhi",99%,(140 votes),₹700
Dr. Swapnil Shah,BDS,33 Years Experience Overall,Dentist,"Powai, Mumbai",98%,(164 votes),₹500
Dr. Kamesh Radhakrishnan,BDS,19 Years Experience Overall,Dentist,"Kanchipuram, Chennai",81%,(54 votes),₹500
Dr. Sunil Chandy,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14 Years Experience Overall  (10 years as specialist),Dentist,"Rajakilpakkam, Chennai",100%,(30 votes),₹400
Dr. Sunil Datta,"BDS, MDS - Prosthodontist And Crown Bridge",30 Years Experience Overall,Dentist,"New Rajendra Nagar, Delhi",100%,(202 votes),₹1500
Dr. Supriya Rojekar,"MDS - Conservative Dentistry & Endodontics, BDS",24 Years Experience Overall,Dentist,"Prabhadevi, Mumbai",99%,(68 votes),₹800
Dr. Gaurav Bhagra,BDS,17 Years Experience Overall,Dentist,"Shalimar Bagh, Delhi",96%,(195 votes),₹1000
Dr. Nidhi,BDS,13 Years Experience Overall,Dentist,"Yeshwanthpur, Bangalore",0,0,₹600
Dr. Arun Elango,BDS,6 Years Experience Overall,Dentist,"Thoraipakkam, Chennai",0,0,₹300
Dr. Jayesh G. Mehta,BDS,32 Years Experience Overall,Dentist,"Mulund West, Mumbai",98%,(342 votes),₹300
Dr. Preeti Jain Pruthi,"BDS, MDS - Conservative Dentistry & Endodontics",16 Years Experience Overall  (11 years as specialist),Dentist,"Krishna Nagar, Delhi",0,0,₹300
Dr. K Ranga Roy Chowdary,"BDS, MDS - Prosthodontist And Crown Bridge",7 Years Experience Overall,Dentist,"Miyapur, Hyderabad",0,0,₹300
Dr. Ajay Kakar,"BDS, MDS - Periodontology and Oral Implantology",37 Years Experience Overall  (35 years as specialist),Dentist,"Powai, Mumbai",0,0,₹700
Dr. Na'ama Attar,BDS,16 Years Experience Overall,Dentist,"Opera House, Mumbai",100%,(62 votes),₹350
Dr. Swathi Ravipudi,"BDS, MDS - Periodontology and Oral Implantology",12 Years Experience Overall  (5 years as specialist),Dentist,"Chromepet, Chennai",100%,(28 votes),₹300
Dr. P V Moxit,BDS,16 Years Experience Overall  (15 years as specialist),Dentist,"Banashankari 3rd Stage, Bangalore",97%,(289 votes),₹300
Dr. Dimple Arora,BDS,25 Years Experience Overall,Dentist,"Ashok Vihar, Delhi",100%,(225 votes),₹500
Dr. Manish Ranade,"BDS, MDS - Conservative Dentistry & Endodontics",22 Years Experience Overall,Dentist,"Vileparle East, Mumbai",99%,(537 votes),₹300
Dr. Sharada P Gowda,"BDS, MDS - Prosthodontics",13 Years Experience Overall,Dentist,"Goregaon East, Mumbai",98%,(184 votes),₹300
Dr. Shafaque Parween,BDS,5 Years Experience Overall,Dentist,"Okhla, Delhi",0,0,₹200
Dr. Sneha Lakshmi Nagineni,"BDS, MDS - Prosthodontist And Crown Bridge",12 Years Experience Overall,Dentist,"Gachibowli, Hyderabad",98%,(1045 votes),₹500
Dr. Sanket Rane,"BDS, MDS - Prosthodontist And Crown Bridge",12 Years Experience Overall,Dentist,"Jogeshwari East, Mumbai",99%,(78 votes),₹300
Dr. Sri Sujan Suryadevara,"MDS - Oral & Maxillofacial Surgery, BDS",14 Years Experience Overall,Dentist,"Sanath Nagar, Hyderabad",100%,(66 votes),₹300
Dr. Ashish Bansal,"BDS, MDS - Prosthodontist And Crown Bridge",11 Years Experience Overall,Dentist,"Pitampura, Delhi",100%,(53 votes),₹400
Dr. Smitha Nagaraj,BDS,22 Years Experience Overall,Dentist,"Jayanagar 7 Block, Bangalore",100%,(279 votes),₹500
Dr. Parixeet Patel,"MDS - Paedodontics And Preventive Dentistry, BDS",11 Years Experience Overall,Dentist,"Sarjapur Road, Bangalore",96%,(71 votes),₹200
Dr. Pratik Kotadia,"BDS, MDS - Conservative Dentistry ",11 Years Experience Overall,Dentist,"Bibvewadi, Pune",100%,(168 votes),₹200
Dr. Sumit Aggarwal,BDS,11 Years Experience Overall,Dentist,"Kamla Nagar, Delhi",98%,(146 votes),₹300
Dr. Ankita Kalra,BDS,12 Years Experience Overall,Dentist,"Dwarka Sector 7, Delhi",93%,(15 votes),₹300
Dr. Shailendra Jha,BDS,21 Years Experience Overall,Dentist,"Mahadevapura, Bangalore",96%,(81 votes),₹400
Dr. Kavita Kumari,BDS,9 Years Experience Overall,Dentist,"Ravet, Pune",0,0,₹300
Dr. Priyanka Rathi,BDS,11 Years Experience Overall  (10 years as specialist),Dentist,"Shivajinagar, Pune",97%,(201 votes),₹200
Dr. Nandakishore,"BDS, MDS - Orthodontics",22 Years Experience Overall  (16 years as specialist),Dentist,"Koramangala 4 Block, Bangalore",0,0,₹500
Dr. Nupur Jhunjhunwala,BDS,18 Years Experience Overall,Dentist,"Kemps Corner, Mumbai",98%,(48 votes),₹1000
Dr. Tejashree Pangare,"BDS, MDS - Oral & Maxillofacial Surgery",12 Years Experience Overall,Dentist,"Lohegaon, Pune",94%,(18 votes),₹300
Dr. S.Egammai,"BDS, MDS - Prosthodontist And Crown Bridge",15 Years Experience Overall,Dentist,"Tharamani, Chennai",95%,(167 votes),₹500
Dr. Sonali Ghorpade,BDS,24 Years Experience Overall,Dentist,"Baner, Pune",100%,(81 votes),₹400
Dr. Nikhil Surana,"MDS - Orthodontics, BDS",13 Years Experience Overall  (11 years as specialist),Dentist,"Kandivali East, Mumbai",96%,(80 votes),₹500
Dr. Abdul Gaffar Mahkri,"BDS, Fellowship in Oral implantlogy",10 Years Experience Overall  (9 years as specialist),Dentist,"Mehdipatnam, Hyderabad",98%,(134 votes),₹300
Dr. Kamal Odedra,"BDS, MDS - Conservative Dentistry & Endodontics",11 Years Experience Overall,Dentist,"Marathahalli, Bangalore",100%,(37 votes),₹550
Dr. Vasuda Rajanna,"BDS, MDS - Public Health Dentistry",16 Years Experience Overall,Dentist,"JP Nagar, Bangalore",99%,(119 votes),₹350
Dr. Shivanand V,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, MOrth",16 Years Experience Overall  (10 years as specialist),Dentist,"Hebbal, Bangalore",99%,(725 votes),₹250
Dr. Nehal Sabadra,BDS,26 Years Experience Overall,Dentist,"Colaba, Mumbai",0,0,₹1000
Dr. Neera Kumar,BDS,27 Years Experience Overall  (26 years as specialist),Dentist,"CR Park, Delhi",100%,(21 votes),₹500
Dr. Shilpa I.G,"MDS - Paedodontics And Preventive Dentistry, BDS",15 Years Experience Overall  (14 years as specialist),Dentist,"Singasandra, Bangalore",99%,(219 votes),₹300
Dr. Ahtesham Ali,"BDS, MDS - Oral & Maxillofacial Surgery",11 Years Experience Overall,Dentist,"Gachibowli, Hyderabad",85%,(13 votes),₹500
Dr. Ninad Muley,BDS,9 Years Experience Overall,Dentist,"Aundh, Pune",0,0,₹500
Dr. Sandesh S Kumar,BDS,21 Years Experience Overall,Dentist,"Mulund West, Mumbai",98%,(186 votes),₹250
Dr. Jyoti Kailash Mohitey,"MDS - Periodontics, BDS",24 Years Experience Overall  (19 years as specialist),Dentist,"Hadapsar, Pune",99%,(232 votes),₹300
Dr. Priyanka Urade,BDS,9 Years Experience Overall,Dentist,"Pimpri-Chinchwad, Pune",0,0,₹200
Dr. Prachi Kohli,"MDS - Periodontics, BDS",13 Years Experience Overall  (7 years as specialist),Dentist,"Kamla Nagar, Delhi",100%,(58 votes),₹300
Dr. Balaji,"MDS - Paedodontics And Preventive Dentistry, BDS",24 Years Experience Overall,Dentist,"Madhapur, Hyderabad",0,0,₹500
Dr. Sirisha Padma Inturi,BDS,5 Years Experience Overall,Dentist,"Manikonda, Hyderabad",0,0,₹500
Dr. Madhukar Neerudu,"MDS - Periodontics, BDS",29 Years Experience Overall  (24 years as specialist),Dentist,"Moti Nagar, Hyderabad",99%,(373 votes),₹300
Dr. Mudassir Shaikh,BDS,14 Years Experience Overall  (13 years as specialist),Dentist,"Pimple Saudagar, Pune",99%,(746 votes),₹400
Dr. Aditi Gvalani,BDS,17 Years Experience Overall,Dentist,"Tardeo, Mumbai",99%,(206 votes),₹500
Dr. V. Ashok,"BDS, MDS - Prosthodontics, FICOI",23 Years Experience Overall  (21 years as specialist),Dentist,"Avadi, Chennai",0,0,₹200
Dr. Rajendra Shah,"BDS, Certificate in Dental Implants",44 Years Experience Overall,Dentist,"Powai, Mumbai",96%,(84 votes),₹200
Dr. Praveen Kumar,BDS,11 Years Experience Overall,Dentist,"Miyapur, Hyderabad",98%,(203 votes),₹300
Dr. Shweta Rathi,BDS,10 Years Experience Overall,Dentist,"Magarpatta City, Pune",98%,(207 votes),₹300
Dr. Shailaja Karthick Prasad,"BDS, MFDS RCS",22 Years Experience Overall,Dentist,"Brigade Road, Bangalore",100%,(135 votes),₹650
Dr. Sujata Yerawadekar,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",12 Years Experience Overall,Dentist,"Nigdi, Pune",100%,(36 votes),₹500
Dr. M.S.Saravanakumar,"BDS, MDS - Paedodontics And Preventive Dentistry",20 Years Experience Overall,Dentist,"T Nagar, Chennai",98%,(185 votes),₹500
Dr. Sonali Kulkarni,BDS,26 Years Experience Overall,Dentist,"Nigdi, Pune",97%,(306 votes),₹300
Dr. Deepika Bartunia,"MDS - Oral & Maxillofacial Surgery, BDS",12 Years Experience Overall,Dentist,"Whitefield, Bangalore",100%,(23 votes),₹300
Dr. Supriya Murkute Munde,"BDS, MDS - Periodontics",9 Years Experience Overall  (4 years as specialist),Dentist,"Pimple Saudagar, Pune",0,0,₹300
Dr. Priya Verma,BDS,26 Years Experience Overall,Dentist,"Whitefield, Bangalore",97%,(503 votes),₹500
Dr. Shailendra Supekar,"BDS, MDS - Conservative Dentistry & Endodontics",11 Years Experience Overall,Dentist,"Kharadi, Pune",99%,(110 votes),₹300
Dr. Jothi Ratnam,MDS - Prosthodontics,10 Years Experience Overall,Dentist,"Padmarao Nagar, Hyderabad",0,0,₹500
Dr. Roma Haider,BDS,24 Years Experience Overall,Dentist,"Koramangala 5 Block, Bangalore",97%,(33 votes),₹600
Dr. N. Nanda Kumar,"BDS, MDS - Oral & Maxillofacial Surgery, DICOI",27 Years Experience Overall  (26 years as specialist),Dentist,"KK Nagar, Chennai",91%,(163 votes),₹300
Dr. V.Bhadra Rao,"BDS, MDS - Conservative Dentistry ",24 Years Experience Overall,Dentist,"Ramkoti, Hyderabad",100%,(18 votes),₹300
Dr. Arun Swarup,BDS,42 Years Experience Overall,Dentist,"Bandra West, Mumbai",99%,(372 votes),₹1000
Dr. Aishwarya Magdum,BDS,4 Years Experience Overall,Dentist,"Amnora Park Town, Pune",0,0,₹300
Dr. Mata Sundeep,BDS,12 Years Experience Overall,Dentist,"Sahakaranagar, Bangalore",0,0,₹500
Dr. Sobika,BDS,2 Years Experience Overall,Dentist,"Thoraipakkam, Chennai",0,0,₹200
Dr. Rahul Pagare,BDS,16 Years Experience Overall,Dentist,"Govandi, Mumbai",98%,(443 votes),₹200
Dr. Darshan Sheth,BDS,14 Years Experience Overall,Dentist,"Ghatkopar East, Mumbai",98%,(280 votes),₹500
Dr. Himesh Jain,"MDS - Conservative Dentistry & Endodontics, BDS",15 Years Experience Overall,Dentist,"Paschim Vihar, Delhi",0,0,₹300
Dr. Subash,"MDS - Prosthodontics, BDS",29 Years Experience Overall,Dentist,"Sarjapur Road, Bangalore",94%,(35 votes),₹300
Dr. Aishwarya Nair,"BDS, MDS - Oral & Maxillofacial Surgery",14 Years Experience Overall,Dentist,"Tardeo, Mumbai",0,0,₹1000
Dr. Sanjit Singh,BDS,17 Years Experience Overall,Dentist,"Panchsheel Park, Delhi",100%,(84 votes),₹1200
Dr. Hemant Patil,"MDS - Prosthodontist And Crown Bridge, BDS",15 Years Experience Overall,Dentist,"Pimple Saudagar, Pune",93%,(1182 votes),₹500
Dr. Shubhangini Gandhi,"BDS, MDS - Oral Pathology and Oral Microbiology",22 Years Experience Overall  (5 years as specialist),Dentist,"Green Park, Delhi",98%,(174 votes),₹500
Dr. Aditya Nair,"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",14 Years Experience Overall  (11 years as specialist),Dentist,"Matunga, Mumbai",100%,(178 votes),₹300
Dr. Kasipathy Kasina,"BDS, Fellowship in Medical Cosmetology (FMC)",18 Years Experience Overall  (6 years as specialist),Dentist,"RT Nagar, Bangalore",97%,(64 votes),₹400
