,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
155,Ms. Bansi Mehta,P.G in Sports Science Fitness & Nutrition,8 Years Experience Overall,Dietitian,"Khar West, Mumbai",0,0,₹600
156,Ms. Rokayya Ara,BSc - Dietitics / Nutrition,10 Years Experience Overall  (9 years as specialist),Dietitian,"Andheri West, Mumbai",0,0,0
157,Dr. Ritu Jain,"BNYS, BSc - Dietitics / Nutrition, ND/NMD(Doctor of Naturopathy And Natural Medicine), Diploma in Acupuncture",21 Years Experience Overall,Dietitian,"Andheri West, Mumbai",0,0,₹1000
158,Ms. Shruti Kainya,Post Graduate Diploma in Sports Nutrition,4 Years Experience Overall,Dietitian,"Worli, Mumbai",0,0,₹2500
159,Ms. Kirti Muthal,"Diploma in Dietetics, Health and Nutrition (DDHN)",7 Years Experience Overall  (5 years as specialist),Dietitian,"Borivali West, Mumbai",0,0,₹2000
160,Ms. Jyoti Chabria,B.Sc. - Home Science (Food & Nutrition),32 Years Experience Overall  (31 years as specialist),Dietitian,"Banjara Hills, Hyderabad",85% ,(62 votes),₹1000
161,Mr. Jagdish,DNHE,4 Years Experience Overall,Dietitian,"Manikonda, Hyderabad",0,0,₹800
162,Ms. Durga Kumari,"MSc. - Dietetics & Food Service Management, BSc -  Zoology",12 Years Experience Overall  (10 years as specialist),Dietitian,"Ecil, Hyderabad",94% ,(16 votes),₹400
163,Ms. Bhumika Pasari,"BSc. - Home Science, Post Graduation Diploma in Dietetics and Public Health Nutrition",11 Years Experience Overall  (7 years as specialist),Dietitian,"Kukatpally, Hyderabad",0,0,₹500
164,Ms. Aswini Sagar,MSc - Dietitics / Nutrition,11 Years Experience Overall,Dietitian,"Kompally, Hyderabad",0,0,₹5000
165,Dr. Matheen Asrar   (PhD),PhD - Nutrition,11 Years Experience Overall,Dietitian,"East Marredpally, Hyderabad",0,0,₹700
166,Ms. Radha kumari,MSc - Dietitics / Nutrition,21 Years Experience Overall  (19 years as specialist),Dietitian,"Madinaguda, Hyderabad",100% ,(12 votes),₹300
167,Ms. Mayuri Aavula,MSc - Dietitics / Nutrition,11 Years Experience Overall  (10 years as specialist),Dietitian,"Kondapur, Hyderabad",100% ,(19 votes),₹1200
168,Dr. Roja Ramani,"Diploma in Nutrition and Health Education, BNYS",22 Years Experience Overall  (20 years as specialist),Dietitian,"Yousufguda, Hyderabad",0,0,₹350
169,Dr. Janaki Srinath   (PhD),"MSc - Dietitics / Nutrition, PhD - Biochemistry",26 Years Experience Overall,Dietitian,"Panjagutta, Hyderabad",0,0,₹500
170,Ms. Rachel Rosline,"Post Graduation Diploma in Dietetics, BSc. - Home Science, MSc - Applied Psychology",31 Years Experience Overall,Dietitian,"Malkajgiri, Hyderabad",90% ,(31 votes),₹3500
171,Ms. Anju Katara,M.Sc. - Home Science (Food & Nutrition),18 Years Experience Overall  (17 years as specialist),Dietitian,"Jubilee Hills, Hyderabad",98% ,(246 votes),₹1000
172,Mr. Dinesh.S.Devnani,BSc - Dietitics / Nutrition,41 Years Experience Overall  (39 years as specialist),Dietitian,"Begumpet, Hyderabad",0,0,₹100
173,Ms. G. Charulatha,"MSc - Psychotherapy And Counselling, BSc. - Home Science, Diploma in Diet and Nutrition",25 Years Experience Overall  (8 years as specialist),Dietitian,"Ameerpet, Hyderabad",0,0,₹500
174,Ms. Vertika Bhargava,"MSc - Food and Applied Nutrition, BSc - Dietitics / Nutrition",15 Years Experience Overall  (14 years as specialist),Dietitian,"Srinagar Colony, Hyderabad",0,0,₹250
175,Ms. Haritha,"MSc - Dietitics / Nutrition, BSc - Dietitics / Nutrition",12 Years Experience Overall,Dietitian,"Begumpet, Hyderabad",0,0,₹350
176,Dr. Vani Tadepalli,"MD - Bio-Chemistry, Diploma in Diet and Nutrition, MBBS",20 Years Experience Overall  (8 years as specialist),Dietitian,"Manikonda, Hyderabad",0,0,₹5000
177,Dr. Deepa Agarwal   (PhD),"PhD - Clinical Nutrition, M.Sc - Clinical Nutrition",13 Years Experience Overall  (11 years as specialist),Dietitian,"Banjara Hills, Hyderabad",89% ,(56 votes),₹1000
178,Dr. Dr.Asha srinath,BAMS,13 Years Experience Overall  (3 years as specialist),Dietitian,"Secunderabad, Hyderabad",0,0,0
179,Ms. C Lakshmi Prasanna,B.Sc. - Home Science (Food & Nutrition),8 Years Experience Overall  (6 years as specialist),Dietitian,"Attapur, Hyderabad",0,0,0
180,Ms. K Sitha Gayathri,MSc - Food Science and Nutrition,11 Years Experience Overall  (9 years as specialist),Dietitian,"Karkhana, Hyderabad",0,0,0
181,Ms. A Kalpana,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",7 Years Experience Overall  (5 years as specialist),Dietitian,"Dilsukhnagar, Hyderabad",0,0,0
182,Ms. Rehmat Unissa,BSc - Dietitics / Nutrition,7 Years Experience Overall  (5 years as specialist),Dietitian,"Banjara Hills, Hyderabad",0,0,0
183,Ms. Mahejabeen,BSc - Dietitics / Nutrition,18 Years Experience Overall  (16 years as specialist),Dietitian,"Chanda Nagar, Hyderabad",0,0,₹200
184,Ms. Sadia Sana,MSc - Dietitics / Nutrition,7 Years Experience Overall  (6 years as specialist),Dietitian,"Khairatabad, Hyderabad",100% ,(18 votes),₹1000
185,Ms. Kavitha Reddy,"BSc - Dietitics / Nutrition, Diploma in Diet and Nutrition",21 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",0,0,₹300
186,Ms. Zeenath Fatima,"MSc., MSc - Dietitics / Nutrition",17 Years Experience Overall  (14 years as specialist),Dietitian,"Somajiguda, Hyderabad",0,0,₹750
187,Ms. Shruthilaya,BSc - Dietitics / Nutrition,4 Years Experience Overall  (3 years as specialist),Dietitian,"Jubilee Hills, Hyderabad",0,0,₹3000
188,Ms. Brundavani,MSc - Food and Applied Nutrition,34 Years Experience Overall  (32 years as specialist),Dietitian,"Hyder Nagar, Hyderabad",82% ,(17 votes),₹500
189,Ms. Lakshmi Tejasvi,M.Sc - Clinical Nutrition,11 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",100% ,(32 votes),₹750
190,Mr. Aneesh Raj,Certification in Health Coaching Nutrition,14 Years Experience Overall,Dietitian,"Tolichowki, Hyderabad",0,0,₹800
191,Ms. Nihath Tazeen,"B.Sc. - Home Science (Food & Nutrition), M.Sc - Clinical Nutrition",4 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",0,0,₹1000
192,Ms. P. Ambica,MSc - Food Science and Nutrition,5 Years Experience Overall  (3 years as specialist),Dietitian,"Madinaguda, Hyderabad",0,0,₹350
193,Ms. Savitha Shastry,B.Sc.- Clinical Nutrition & Dietetics,13 Years Experience Overall,Dietitian,"Nallagandla, Hyderabad",0,0,₹900
194,Ms. Priyanka Jain,MSc - Dietitics / Nutrition,11 Years Experience Overall  (10 years as specialist),Dietitian,"Secunderabad, Hyderabad",0,0,₹1500
195,Ms. Suhasini Mudraganam,MSc - Dietitics / Nutrition,16 Years Experience Overall,Dietitian,"West Marredpally, Hyderabad",0,0,0
196,Ms. Iffath Nausheen,MSc - Nutrition and Dietetics,12 Years Experience Overall,Dietitian,"Secunderabad, Hyderabad",0,0,₹400
197,Ms. Katta Mounika,B.Sc. - Home Science (Food & Nutrition),8 Years Experience Overall  (7 years as specialist),Dietitian,"Kukatpally, Hyderabad",0,0,₹400
198,Ms. M. Swapna,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",16 Years Experience Overall,Dietitian,"Basheerbagh, Hyderabad",0,0,₹300
199,Ms. Kanchana Gangadhar,MSc - Dietitics / Nutrition,12 Years Experience Overall,Dietitian,"Himayat Nagar, Hyderabad",0,0,0
200,Ms. Abhilasha Jain,BSc - Dietitics / Nutrition,12 Years Experience Overall  (10 years as specialist),Dietitian,"Himayat Nagar, Hyderabad",0,0,0
201,Ms. Syeda Ayesha Jeelani,MSc - Nutrition and Dietetics,4 Years Experience Overall,Dietitian,"Masab Tank, Hyderabad",0,0,₹500
202,Ms. Sajida Afreen,MSc - Dietitics / Nutrition,9 Years Experience Overall  (7 years as specialist),Dietitian,"Himayat Nagar, Hyderabad",0,0,0
203,Ms. Vasavi Chandrika,B.Sc.- Clinical Nutrition & Dietetics,6 Years Experience Overall  (4 years as specialist),Dietitian,"Secunderabad, Hyderabad",0,0,0
204,Ms. P Lakshmi Keerthi,MSc - Applied Nutrition,7 Years Experience Overall  (6 years as specialist),Dietitian,"Ameerpet, Hyderabad",0,0,₹500
205,Ms. Prathima Potluri,MSc - Dietitics / Nutrition,7 Years Experience Overall,Dietitian,"AS Rao Nagar, Hyderabad",0,0,0
206,Ms. Surisetty Subhashini,MSc - Dietitics / Nutrition,10 Years Experience Overall,Dietitian,"Himayat Nagar, Hyderabad",0,0,0
207,Ms. Aiesha Imran,Diploma in Diet and Nutrition,8 Years Experience Overall  (6 years as specialist),Dietitian,"Banjara Hills, Hyderabad",0,0,0
208,Ms. Kalpana,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",8 Years Experience Overall,Dietitian,"Suchitra Circle, Hyderabad",0,0,₹150
209,Ms. Rohini  K,MSc - Nutrition and Dietetics,12 Years Experience Overall  (11 years as specialist),Dietitian,"Boduppal, Hyderabad",0,0,₹500
210,Ms. P. Mounika,MSc - Applied Nutrition,5 Years Experience Overall,Dietitian,"Somajiguda, Hyderabad",0,0,₹509
211,Ms. Mounica,"M.Sc. - Food and Nutrition, B.Sc. - Home Science (Food & Nutrition)",5 Years Experience Overall,Dietitian,"Secunderabad, Hyderabad",0,0,0
212,Ms. Jyothi Chandrika Bandla,M.Sc. - Home Science (Food & Nutrition),23 Years Experience Overall  (22 years as specialist),Dietitian,"Pragathi Nagar, Hyderabad",0,0,₹250
213,Ms. Manduva Hemalatha,MSc - Dietitics / Nutrition,20 Years Experience Overall,Dietitian,"AS Rao Nagar, Hyderabad",0,0,0
214,Ms. Priyanka Sadhukhan,MSc - Dietitics / Nutrition,12 Years Experience Overall  (11 years as specialist),Dietitian,"Madhapur, Hyderabad",0,0,₹300
215,Ms. Nazia,BSc - Dietitics / Nutrition,9 Years Experience Overall  (7 years as specialist),Dietitian,"Miyapur, Hyderabad",0,0,0
216,Ms. Priya Deena,MSc - Dietitics / Nutrition,10 Years Experience Overall,Dietitian,"AS Rao Nagar, Hyderabad",0,0,0
217,Ms. Rashida,"B.Sc. - Home Science (Food & Nutrition), Post Graduate In Food Science And Nutrition",18 Years Experience Overall  (16 years as specialist),Dietitian,"Erragadda, Hyderabad",0,0,₹3500
218,Ms. Suneetha Sapur,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",24 Years Experience Overall,Dietitian,"Jubilee Hills, Hyderabad",0,0,₹2000
219,Dr. Lahari Surapaneni   (PhD),PhD - Food Science and Nutrition ,10 Years Experience Overall  (8 years as specialist),Dietitian,"Srinagar Colony, Hyderabad",0,0,₹500
220,Ms. Archana Phatak,MSc - Dietitics / Nutrition,15 Years Experience Overall,Dietitian,"West Marredpally, Hyderabad",0,0,0
221,Ms. Uzma Salam,MSc - Dietitics / Nutrition,11 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",0,0,0
222,Ms. Indira N,MSc - Food Science and Nutrition,8 Years Experience Overall  (6 years as specialist),Dietitian,"KPHB, Hyderabad",0,0,₹500
223,Ms. Gogna Deepali,MSc - Dietitics / Nutrition,11 Years Experience Overall,Dietitian,"AS Rao Nagar, Hyderabad",0,0,0
224,Ms. Bhamidipaty Kanti,MSc - Dietitics / Nutrition,10 Years Experience Overall,Dietitian,"Srinagar Colony, Hyderabad",0,0,0
225,Ms. Kantheti Manasa,BSc - Dietitics / Nutrition,20 Years Experience Overall,Dietitian,"KPHB, Hyderabad",0,0,₹500
226,Ms. Manisha Ghodke,"BSc - Dietitics / Nutrition, MSc - Nutrition and Dietetics",6 Years Experience Overall  (5 years as specialist),Dietitian,"Banjara Hills, Hyderabad",0,0,₹1000
227,Ms. Prerana Singh,B.Sc. - Home Science (Food & Nutrition),15 Years Experience Overall  (13 years as specialist),Dietitian,"Gachibowli, Hyderabad",0,0,₹500
228,Dr. Sunita Arya (PhD)   (PhD),Post Graduate Diploma in Clinical Nutrition & Dietetics,6 Years Experience Overall  (5 years as specialist),Dietitian,"Jubilee Hills, Hyderabad",0,0,₹3000
229,Dr. Soma Chakrabarty   (PhD),PhD - Home Science (Food and Nutrition),5 Years Experience Overall  (3 years as specialist),Dietitian,"Gachibowli, Hyderabad",0,0,₹600
230,Ms. Shruthi,MSc - Dietitics / Nutrition,5 Years Experience Overall  (4 years as specialist),Dietitian,"Jubilee Hills, Hyderabad",0,0,₹1000
231,Ms. Swathikrishna Juvvi,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",9 Years Experience Overall  (8 years as specialist),Dietitian,"Secunderabad, Hyderabad",0,0,₹350
232,Mr. Shankar Rao,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition",Dietitian/Nutritionist,Dietitian,"Dilsukhnagar, Hyderabad",0,0,0
233,Ms. Achsah Rathan Kumar,MSc. - Food Service Management & Dietetics,13 Years Experience Overall  (11 years as specialist),Dietitian,"Banjara Hills, Hyderabad",0,0,₹1000
234,Ms. Suhasini Viswanathan,"MSc - Health Science (Dietetics), BSc. - Nutrition Food Service Management and Dietetics",11 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",0,0,₹1000
235,Ms. Nafeesa Imteyaz,MSc. - Dietetics & Food Service Management,27 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",98% ,(3674 votes),₹1000
236,Ms. Diksha Banthia,"BSc - Dietitics / Nutrition, M.Sc. - Home Science (Food & Nutrition)",7 Years Experience Overall,Dietitian,"Banjara Hills, Hyderabad",0,0,₹1000
