Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Shirin Bakshi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Safdarjung Enclave, Delhi,0,0,800
Dr. Gunjan Chavan,Dermatologist,"MBBS, DVD",18,Pimple Saudagar, Pune,96,245,500
Dr. Cordelia Babitha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",18,Besant Nagar, Chennai,100,55,600
Dr. Sohandas Shetty B,Dermatologist,"MBBS, DDVL",25,Bannerghatta Road, Bangalore,96,676,450
Dr. Vasavi Latha Chandika,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",17,East Marredpally, Hyderabad,0,0,700
Dr. Sanjay S Chopra,Dermatologist,"MBBS, DVD",11,Parel, Mumbai,96,185,900
Dr. Radhika S R,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",7,Mahalakshmi Layout, Bangalore,100,21,600
Dr. Geetali Kharghoria,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",7,Defence Colony, Delhi,0,0,800
Dr. G Sree Ranjitha,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Sanath Nagar, Hyderabad,0,0,500
Dr. Snehal Navande,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Baner Road, Pune,0,0,600
Dr. Mudasir Khan,Dermatologist,"MBBS, Masters in Clinical Dermatology",28,Jasola, Delhi,94,99,800
Dr. Shveta Sharma,Dermatologist,"MBBS, DVD",17,Kharadi, Pune,0,0,750
Dr. Mansi Sanghvi,Dermatologist,"MBBS, DNB - Dermatology & Venereology",18,Powai, Mumbai,97,99,1200
Dr. Vindhya Raparla,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Marine Lines, Mumbai,100,52,1250
Dr. Ashutosh Shende,Dermatologist,"MBBS, MD - Pharmacology, DVD",15,Kothrud, Pune,98,111,500
Dr. Shruthi C,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Jayanagar 4 Block, Bangalore,0,0,600
Dr. Divya Venkumahanty Suma,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Secunderabad, Hyderabad,100,35,600
Dr. Vignessh Raj,Dermatologist,"MBBS, DDVL",15,Whitefield, Bangalore,99,873,600
Dr. B Utham Kumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",23,Chanda Nagar, Hyderabad,99,119,500
Dr. Soni Gupta,Dermatologist,"MBBS, DDVL",16,Panchsheel Park, Delhi,0,0,1000
Dr. Chetana,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",18,Sadashivanagar, Bangalore,96,46,600
Dr. Smitha Warrier,Dermatologist,"MBBS, MD - Dermatology and Venerology",19,Bannerghatta Road, Bangalore,76,88,850
Dr. Shantini Vijayasuriar,Dermatologist,"DDVL, MBBS",6,Millers Road, Bangalore,0,0,1000
Dr. Prachi Saraogi,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",14,Malad East, Mumbai,99,210,800
Dr. Latha A Muthu,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Adyar, Chennai,0,0,600
Dr. Nimesh Mehta,Dermatologist,"MBBS, MD - Dermatology",26,Mahim, Mumbai,89,19,1800
Dr. Jatin Sidhwa,Dermatologist,"MBBS, MD - Dermatology",7,Vasant Kunj, Delhi,100,47,800
Dr. Vijaya Deepika,Dermatologist,"MD - Dermatology, MBBS",12,Kondapur, Hyderabad,96,76,700
Dr. Hima Bindu,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Himayat Nagar, Hyderabad,100,44,600
Dr. Shikha Chopade,Dermatologist,"MBBS, DDVL",14,Aundh, Pune,97,123,500
Dr. Ravindra Dargainya,Dermatologist,"MBBS, DDV",14,Malad West, Mumbai,79,174,700
Dr. Shraddha Kololgi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",6,Jayanagar 4 Block, Bangalore,100,34,600
Dr. P. Jyoti,Dermatologist,"MBBS, DDVL, DNB - Dermatology, Venereology & Leprosy",14,Gachibowli, Hyderabad,100,19,600
Dr. Gaurav Garg,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Green Park, Delhi,92,630,1200
Dr. Poojita B S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Jayanagar 4 Block, Bangalore,0,0,650
Dr. K Rama krishna,Dermatologist,"DDVL, MBBS",16,LB Nagar, Hyderabad,91,22,400
Dr. Sachith Abraham,Dermatologist,"MD - Skin & VD, MBBS",29,Koramangala, Bangalore,95,1381,1200
Dr. Rethvi Tej,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS, DNB - Dermatology, Venereology & Leprosy",12,Sadashivanagar, Bangalore,98,55,600
Dr. Jai Dhingra,Dermatologist,"MBBS, DNB - Dermatology & Venereology",11,Pitampura, Delhi,99,145,500
Dr. Harini Irri,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",6,KPHB, Hyderabad,0,0,600
Dr. Apeksha Chaudhari,Dermatologist,"MBBS, DVD",8,Marol, Mumbai,98,86,800
Dr. Raja Sekhar M,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,SR Nagar, Hyderabad,0,0,500
Dr. Hetal Jobanputra,Dermatologist,"MBBS, DVD, FCPS - Dermatology & Venereology, DNB - Dermatology & Venereology",17,Baner, Pune,97,675,600
Dr. Kavish Chouhan,Dermatologist,"MD - Dermatology and Venerology, MBBS",15,Defence Colony, Delhi,91,1336,1500
Dr. Nisha Shokeen,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Panchsheel Park, Delhi,0,0,1000
Dr. Kiran Kattishettar,Dermatologist,"MBBS, MD - Dermatology",32,Hebbal, Bangalore,0,0,1000
Dr. Prof.Venugopal Reddy,Dermatologist,"MBBS, MD - Dermatology",28,Thousand Lights, Chennai,96,98,1000
Dr. Gunjan Verma,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",10,Dwarka, Delhi,96,89,500
Dr. Ashwini Kedar,Dermatologist,"MBBS, DDVL",17,Old Rajendra Nagar, Delhi,95,40,500
Dr. Nataraj Perumalla,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",18,Alwal, Hyderabad,96,47,500
Dr. Sajjan R Agarwal,Dermatologist,"MBBS, MD - Skin Diseases",44,Panjagutta, Hyderabad,92,555,700
Dr. Deepam J. Shah,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Opera House, Mumbai,96,484,1500
Dr. Jyothi Menon,Dermatologist,"MBBS, DDVL",21,Koramangala 7 Block, Bangalore,96,53,600
Dr. Poovamma A S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,HSR Layout, Bangalore,95,19,600
Dr. S. Kiran,Dermatologist,"MBBS, DDVL, DNB - Dermatology & Venereology",22,Kukatpally, Hyderabad,99,1757,700
Dr. Akhilesh A,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,New BEL Road, Bangalore,95,389,500
Dr. Suryaprabha P,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Adyar, Chennai,100,86,600
Dr. Akhila Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Jubilee Hills, Hyderabad,0,0,600
Dr. Pilli  Manasa Veena,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Himayat Nagar, Hyderabad,0,0,600
Dr. K Anusha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Kondapur, Hyderabad,0,0,500
Dr. B. Ashwini,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,KPHB, Hyderabad,100,17,600
Dr. Annie Flora,Dermatologist,"MBBS, DDVL",17,MRC Nagar, Chennai,97,65,1200
Dr. Sanjay S Desai,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,RT Nagar, Bangalore,94,66,500
Dr. Sonal Chavan,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16,Pimple Saudagar, Pune,90,1319,600
Dr. Vibha Murarka,Dermatologist,"MBBS, DVD",19,Girgaon, Mumbai,99,395,1500
Dr. Latika Arya,Dermatologist,"MBBS, MD - Dermatology and Venerology",29,Defence Colony, Delhi,97,1072,2200
Dr. Varsha Bodke,Dermatologist,"MBBS, DVD, DNB - Dermatology & Venereology",26,Vishrantwadi, Pune,88,33,500
Dr. Arundathi Nagaraj,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Indiranagar, Bangalore,95,381,700
Dr. Ranjan Upadhyay,Dermatologist,"MBBS, DNB - Dermatology & Venereology, DDVL",18,Vasant Kunj, Delhi,97,1172,1500
Dr. Sankeerth Vijayakumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,HSR Layout, Bangalore,96,425,600
Dr. Shruti Gupta,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",12,Kamla Nagar, Delhi,99,2286,1000
Dr. Prateek Sondhi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,South Extension 2, Delhi,97,553,1200
Dr. Shashidhar T,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Jayanagar 4 Block, Bangalore,98,5356,700
Dr. Rashmi Soni Lohiya,Dermatologist,"MBBS, Diploma in Dermatology, DNB - Dermatology & Venereology, MD - Dermatology",15,Senapati Bapat Marg, Pune,91,186,700
Dr. Deepthi Atmakuri,Dermatologist,"DDVL, MBBS",8,Banjara Hills, Hyderabad,100,22,700
Dr. Namrata Ghai,Dermatologist,"MBBS, DDVL",21,Bali Nagar, Delhi,92,63,1000
Dr. Veenu Jindal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Panchsheel Park, Delhi,100,11,800
Dr. Poorva Shah,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",15,Camp, Pune,96,23,500
Dr. S Roohi Nazneen,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Harlur, Bangalore,100,13,500
Dr. Mukesh Ramnane,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",39,Old Airport Road, Bangalore,74,31,750
Dr. Amrendra kumar,Dermatologist,"MBBS, MD - Dermatology and Venerology",15,Defence Colony, Delhi,92,1105,1500
Dr. Maithili Kamat,Dermatologist,"MBBS, MD - Skin Diseases",25,Mahim, Mumbai,96,23,1800
Dr. Keerthi Subramaniam,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Banjara Hills, Hyderabad,100,24,600
Dr. Ashish B Shetty,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Bilekahalli, Bangalore,99,104,400
Dr. Nivedita Raveendran,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",8,Adyar, Chennai,97,62,600
Dr. Navya Sri Kadiyala,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Jubilee Hills, Hyderabad,0,0,600
Dr. Anuja Jadhav,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Dadar, Mumbai,98,46,800
Dr. Bantwal Priya Baliga,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",7,HSR Layout, Bangalore,0,0,500
Dr. Sudheendra Udbalker,Dermatologist,"MBBS, DNB - Dermatology & Venereology, DDVL",21,Bannerghatta Road, Bangalore,97,199,850
Dr. Aniket  S Deshmane,Dermatologist,"MBBS, DDV",11,Bavdhan, Pune,98,54,500
Dr. Ravichandran,Dermatologist,"MBBS, Diploma in Dermatology, MD - Dermatology",41,Teynampet, Chennai,81,31,1000
Dr. Manisha Kshirsagar,Dermatologist,"MBBS, DVD",18,Vikhroli East, Mumbai,93,46,850
Dr. Shareefa Chause,Dermatologist,"MBBS, DVD",9,Chembur, Mumbai,0,0,1200
Dr. Syed Shakeel,Dermatologist,"MBBS, D.V.D (Skin & STD)",30,Kilpauk, Chennai,100,76,600
Dr. Sai Sandeepthi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Nallagandla, Hyderabad,100,23,500
Dr. Amit Nagar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Panchsheel Park, Delhi,0,0,1000
Dr. Nandini Teli,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Wakad, Pune,91,952,800
Dr. Abdul Mateen M Ayyub,Dermatologist,"DVD, MBBS",11,Wanowrie, Pune,100,36,500
Dr. Prakash Kumar Khute,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Greater Kailash Part 1, Delhi,98,183,1000
Dr. Varsha C B,Dermatologist,"MBBS, DVD",4,Sarjapur Road, Bangalore,0,0,650
Dr. Subhashini Mohan,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",16,Alwarpet, Chennai,95,43,700
Dr. Rajeshwari,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Jubilee Hills, Hyderabad,83,948,700
Dr. Srividhya C M,Dermatologist,"MBBS, MD - Dermatology",30,Velachery, Chennai,0,0,600
Dr. Kala Vimal,Dermatologist,"MBBS, DDVL",21,Indiranagar, Bangalore,81,21,500
Dr. Sapna Parekh,Dermatologist,"MD - Physician, DVD",10,Bopodi, Pune,0,0,500
Dr. Janet Alexander Castelino,Dermatologist,"MBBS, MD - Dermatology",29,HSR Layout, Bangalore,92,8004,1000
Dr. Sarika Holmukhe,Dermatologist,"DNB - Dermatology & Venereology, MBBS, DDVL",17,Andheri West, Mumbai,95,295,1000
Dr. Abhilasha M D,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",8,JP Nagar, Bangalore,97,138,750
Dr. Suvina attavar,Dermatologist,"DDVL, MBBS",9,Whitefield, Bangalore,98,327,600
Dr. Lavina Mittal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",2,HSR Layout, Bangalore,0,0,600
Dr. Apoorva Raghavan,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",9,Kilpauk, Chennai,0,0,700
Dr. Indu Kumari,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Malviya Nagar, Delhi,93,30,1000
Dr. Nidhi Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",17,Perumbakkam, Chennai,100,13,700
Dr. Srushanth Mukka,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Nanakramguda, Hyderabad,0,0,600
Dr. Aradhana Sood,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",22,Hebbal, Bangalore,0,0,1090
Dr. Eswari.L,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",21,Jayanagar 4 Block, Bangalore,0,0,500
Dr. Uday Khopkar,Dermatologist,"MBBS, DNB - Dermatology & Venereology",38,Parel, Mumbai,95,1529,3100
Dr. Harish Prasad B.R,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",15,BTM Layout, Bangalore,96,649,700
Dr. Sruthi Gondi,Dermatologist,"MD - Dermatology, MBBS",12,Jubilee Hills, Hyderabad,93,482,600
Dr. Akshi Bansal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Whitefield, Bangalore,0,0,600
Dr. Ramanan,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, Diploma in Dermatology",49,Alwarpet, Chennai,93,15,500
Dr. Vikas Halwai,Dermatologist,"MBBS, DVD",13,Chinchpokli, Mumbai,94,94,800
Dr. Kamal,Dermatologist,"MBBS, DVD",32,Himayat Nagar, Hyderabad,99,374,500
Dr. P. Haritha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16,Alwal, Hyderabad,79,42,500
Dr. Ujjvala Jadhav,Dermatologist,"FCPS - Dermatology, Venereology & Leprosy, DVD, MBBS",23,Goregaon East, Mumbai,93,159,900
Dr. Kavya H Reganti,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",4,JP Nagar, Bangalore,0,0,600
Dr. Resham Vasani Bhojani,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DDVL, FCPS - Dermatology & Venereology",23,Matunga, Mumbai,99,496,1500
Dr. Pradeep Bansal,Dermatologist,"MBBS, MD - Skin & VD",19,Shalimar Bagh, Delhi,97,824,900
Dr. Vennela Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",4,Whitefield, Bangalore,0,0,600
Dr. Rashmi Aderao,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Kothrud, Pune,86,63,500
Dr. Nishant Jain,Dermatologist,DDVL,6,Ameerpet, Hyderabad,0,0,500
Dr. Sindhu.P.S,Dermatologist,"MBBS, DDVL, DNB - Dermatology & Venereology",12,Bellandur, Bangalore,0,0,600
Dr. Rashmika Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",7,Indiranagar, Bangalore,94,36,600
Dr. Varsha S Patil,Dermatologist,"MBBS, DDVL",13,Kalyan Nagar, Bangalore,97,62,700
Dr. P Suprith Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Hitech City, Hyderabad,95,56,500
Dr. Vivek Mehta,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,East Of Kailash, Delhi,96,858,1500
Dr. Rahul Siraskar,Dermatologist,"MBBS, DDVL",13,Sion, Mumbai,96,27,1000
Dr. Priyanka Ghuge Avhad,Dermatologist,"MBBS, DNB - Dermatology & Venereology",12,Sion, Mumbai,94,36,800
Dr. Chandrashekara Aithal,Dermatologist,"MBBS, DVD",32,BTM Layout 2nd Stage, Bangalore,86,165,500
Dr. Gauri Patil,Dermatologist,"DDVL, MBBS",11,Dadar, Mumbai,91,11,700
Dr. Vaishali Kanthi,Dermatologist,"MBBS, MD - Skin Diseases",24,Bhandup West, Mumbai,87,187,800
Dr. Renu Madan,Dermatologist,"MBBS, MD - Dermatology",24,Dwarka, Delhi,97,77,700
Dr. Dipali Chavan,Dermatologist,"MBBS, DDVL",14,Kothrud, Pune,0,0,500
Dr. Ravali Yalamanchili,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Jubilee Hills, Hyderabad,98,114,500
Dr. Sowmya M,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Sarjapur Road, Bangalore,95,66,700
Dr. Ravi Kothari,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Aundh, Pune,86,598,500
Dr. Anushya Shreya Baddula,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",6,Jubilee Hills, Hyderabad,100,17,500
Dr. Abhijna Rai,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",9,Whitefield, Bangalore,95,19,600
Dr. Mukesh Girdhar,Dermatologist,"MBBS, MD - Dermatology",35,Patparganj, Delhi,76,41,1200
Dr. Mikki Singh,Dermatologist,"MBBS, DDVL",16,Indiranagar, Bangalore,0,0,1000
Dr. Dube Aishwarya Suhas,Dermatologist,"MBBS, DVD",4,Kharadi, Pune,0,0,550
Dr. Sharmila Nayak,Dermatologist,"MBBS, DVD",24,Andheri West, Mumbai,98,303,1500
Dr. Mallikarjun,Dermatologist,"MBBS, DDVL",9,Chanda Nagar, Hyderabad,97,71,400
Dr. Swetha Gowda,Dermatologist,"MBBS, MD - Dermatology",11,Indiranagar, Bangalore,92,88,600
Dr. Meera Sreedhar,Dermatologist,"MBBS, MD - Skin & VD",28,Indiranagar, Bangalore,0,0,500
Dr. Ajita Bagai,Dermatologist,"MBBS, MD - Skin & VD, DNB - Dermatology & Venereology",24,Panchsheel Park, Delhi,85,62,1600
Dr. Sumit Gupta,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Punjabi Bagh, Delhi,99,736,1000
Dr. Senthil Sivaprakasam,Dermatologist,"MBBS, MD - Dermatology",17,Kilpauk, Chennai,99,81,600
Dr. Kiran Katkar,Dermatologist,"MBBS, DVD, MD - Skin Diseases",37,Dadar West, Mumbai,93,584,1000
Dr. Pradnya Manwatkar,Dermatologist,"MBBS, DDVL",17,Mahim, Mumbai,98,582,1500
Dr. Rajarajeswari Patil,Dermatologist,"DVD, MBBS",15,Prabhat Road, Pune,97,95,700
Dr. Ravi Kumar Joshi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",39,Sarita Vihar, Delhi,0,0,2000
Dr. Shruthi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Suchitra Circle, Hyderabad,0,0,500
Dr. Sonia Mangal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Panchsheel Park, Delhi,96,231,1500
Dr. Kutti Sai Swetha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Velachery, Chennai,97,32,500
Dr. Mounika Ketha,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",9,Manikonda, Hyderabad,97,76,500
Dr. Sanjay Thejaswi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",7,Singasandra, Bangalore,82,17,500
Dr. Aishwarya Radhakrishna,Dermatologist,"MBBS, DDVL",14,Jayanagar 5 Block, Bangalore,91,106,600
Dr. S.B Shrivastava,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",47,Paschim Vihar, Delhi,90,30,800
Dr. Gayatri Bharadwaj,Dermatologist,"MBBS, DVD",32,Mulund West, Mumbai,84,296,1500
Dr. Akshitha Ratnakara Shetty,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Indiranagar, Bangalore,0,0,600
Dr. Rajshree Patil,Dermatologist,"MBBS, DNB - Dermatology & Venereology",24,Aundh, Pune,90,552,500
Dr. Sindhura Mandava,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",12,T Nagar, Chennai,90,105,500
Dr. Khayati Singla,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Himayat Nagar, Hyderabad,100,30,600
Dr. Sirisha Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",28,Greater Kailash Part 1, Delhi,98,474,1500
Dr. Priya J Talageri,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",17,Marathahalli, Bangalore,98,5446,650
Dr. Ashalatha,Dermatologist,"DDVL, MBBS",14,Banashankari 3rd Stage, Bangalore,91,43,500
Dr. Rameshwar Gutte,Dermatologist,"MBBS, MD - Dermatology, DVD",18,Kanjurmarg, Mumbai,95,181,500
Dr. J. Rakee Purnima,Dermatologist,"MBBS, DDVL",13,LB Nagar, Hyderabad,99,405,400
Dr. Parul Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Kalkaji, Delhi,0,0,1000
Dr. Kavya K,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,Horamavu, Bangalore,99,206,400
Dr. Jyothsna,Dermatologist,"MBBS, DDVL",11,Saligramam, Chennai,96,226,700
Dr. Swetha Gutha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Harlur, Bangalore,97,179,500
Dr. Prasad Wankhede,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Worli, Mumbai,98,41,1200
Dr. Manasa Chintawar,Dermatologist,"DDVL, MBBS",7,Secunderabad, Hyderabad,0,0,500
Dr. Shilpa,Dermatologist,"MBBS, DDVL",18,Banjara Hills, Hyderabad,92,83,500
Dr. Tanuja Tamhankar,Dermatologist,"MBBS, DDVL",15,Kothrud, Pune,94,149,600
Dr. Pallavi Ahire Shelke,Dermatologist,"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, DVD",15,Baner, Pune,97,1405,600
Dr. Bhavna Mangla,Dermatologist,"MBBS, DVD",20,Pitampura, Delhi,99,243,1000
Dr. Hari Kishan Kumar,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",16,Kengeri, Bangalore,83,63,700
Dr. Pradeep Kumari,Dermatologist,"MBBS, DVD, FCPS - Dermatology, Venereology & Leprosy, DNB - Dermatology & Venereology",19,Viman Nagar, Pune,96,2100,700
Dr. Sumit Sethi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",11,Janakpuri, Delhi,97,147,700
Dr. Niranjana Raj,Dermatologist,"MBBS, MD - Dermatology",13,Whitefield, Bangalore,99,3372,750
Dr. Safia Tanyeem,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Koramangala 5 Block, Bangalore,92,78,700
Dr. Brahmita Monga,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Ashok Vihar, Delhi,0,0,700
Dr. Jolly Shah Kapadia,Dermatologist,"DNB - Dermatology & Venereology, MBBS, DVD",23,Mulund West, Mumbai,96,1068,900
Dr. Dhanraj Chavan,Dermatologist,"MBBS, MD - Dermatology",7,Prabhat Road, Pune,100,12,700
Dr. P. Madhavi Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",22,Banjara Hills, Hyderabad,99,218,600
Dr. V Sreelalitha,Dermatologist,"MBBS, DVD",10,Whitefield, Bangalore,83,35,600
Dr. Sandeep G.S.S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Banjara Hills, Hyderabad,100,83,800
Dr. Soni Nanda,Dermatologist,"MD - Dermatology and Venerology, MBBS",21,Mayur Vihar Ph-I, Delhi,97,590,1000
Dr. Vaidehi Saigaonkar Newaskar,Dermatologist,"MBBS, Diploma in Dermatology",12,Bandra West, Mumbai,100,139,1000
Dr. Ajay Nimbalkar,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",11,Bandra West, Mumbai,96,99,1200
Dr. Pallavi Sule,Dermatologist,"MBBS, DDVL",12,Powai, Mumbai,97,63,1000
Dr. Vivek Singh,Dermatologist,"MBBS, DDV",13,Burari, Delhi,100,71,650
Dr. Rahul Shetty,Dermatologist,"MBBS, MD - Dermatology",11,Vileparle West, Mumbai,97,38,800
Dr. Swagata Chakrabarty,Dermatologist,"MBBS, MD - Dermatology",12,Indiranagar, Bangalore,0,0,650
Dr. Samatha M Swamy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Bellandur, Bangalore,100,25,650
Dr. Devinder M. Mahajan,Dermatologist,"MBBS, MD - Dermatology and Venerology",45,Sarita Vihar, Delhi,69,26,2000
Dr. Ravi N. Hiremagalore,Dermatologist,"MBBS, MD - Dermatology, DVD",27,Old Airport Road, Bangalore,94,420,900
Dr. Priyanka Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Kalyan Nagar, Bangalore,92,481,1500
Dr. Raina Nahar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Andheri West, Mumbai,92,312,1000
Dr. Gaurav Bhardwaj,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Punjabi Bagh, Delhi,100,69,1000
Dr. Arun Kumar S,Dermatologist,"MBBS, DVD, DNB - Dermatology & Venereology",25,Old Airport Road, Bangalore,87,53,750
Dr. Sunil Ghate,Dermatologist,"MD - Dermatology, MBBS, Diploma in Dermatology",22,Chembur East, Mumbai,79,28,1000
Dr. Sai Pawar,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",5,Malad West, Mumbai,0,0,1000
Dr. Neha Tandon,Dermatologist,"MBBS, DVD, DNB - Dermatology & Venereology",15,Dwarka Sector 6, Delhi,0,0,900
Dr. Asmita Dhekne Chebbi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Koramangala 5 Block, Bangalore,98,504,600
