,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
129,Dr. Swapnil Mehta,"DM - Pulmonary Medicine & Critical Care Medicine, MD - General Medicine, MBBS",16 Years Experience Overall  (5 years as specialist),Pulmonologist,"Powai, Mumbai",Mumbai,71%,(14 votes),₹1300
130,Dr. Abhijit Ahuja,"MD - Pulmonary Medicine, MBBS",8 Years Experience Overall  (6 years as specialist),Pulmonologist,"Chembur East, Mumbai",Mumbai,0,0,₹950
131,Dr. Vikas Punamiya,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD), MRCP (UK), FCCP - Pulmonary Medicine",18 Years Experience Overall,Pulmonologist,"Mahim, Mumbai",Mumbai,0,0,₹1800
132,Dr. Prem,"MBBS, MD - Respiratory Medicine",8 Years Experience Overall  (2 years as specialist),Pulmonologist,"Bhandup West, Mumbai",Mumbai,0,0,₹1000
133,Dr. Harish Chafle,"MBBS, DNB - Respiratory Diseases",13 Years Experience Overall  (12 years as specialist),Pulmonologist,"Parel, Mumbai",Mumbai,0,0,₹2100
134,Dr. Sarthak Rastogi,"MBBS, DNB - Respiratory Diseases",14 Years Experience Overall  (9 years as specialist),Pulmonologist,"Mahim, Mumbai",Mumbai,100%,(11 votes),₹1800
135,Dr. Vaibhav R. Kubal,"MBBS, DNB - Respiratory Diseases",13 Years Experience Overall  (9 years as specialist),Pulmonologist,"Mahim, Mumbai",Mumbai,0,0,₹1300
136,Dr. Pankaj K Bang,"DNB - Pulmonary Medicine, MBBS, DNB - Respiratory Diseases, FCCP - Pulmonary Medicine",13 Years Experience Overall  (9 years as specialist),Pulmonologist,"Malad West, Mumbai",Mumbai,0,0,₹1500
137,Dr. Arpan Dhoka,"MBBS, MD - Pulmonary Medicine",10 Years Experience Overall  (3 years as specialist),Pulmonologist,"Chembur, Mumbai",Mumbai,100%,(12 votes),₹1200
138,Dr. Murali Yelchuri,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",16 Years Experience Overall  (8 years as specialist),Pulmonologist,"Miyapur, Hyderabad",Hyderabad,91%,(34 votes),₹600
139,Dr. Archana A,"MD - Pulmonary Medicine, MBBS",15 Years Experience Overall  (5 years as specialist),Pulmonologist,"Kukatpally, Hyderabad",Hyderabad,96%,(157 votes),₹600
140,Dr. Raju C H,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (10 years as specialist),Pulmonologist,"Chandra Nagar, Hyderabad",Hyderabad,97%,(782 votes),₹700
141,Dr. K Prashanth Kumar,"MD - Respiratory Medicine, MBBS",11 Years Experience Overall  (4 years as specialist),Pulmonologist,"Old Bowenpally, Hyderabad",Hyderabad,99%,(316 votes),₹500
142,Dr. Sharath Chandra,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",10 Years Experience Overall  (3 years as specialist),Pulmonologist,"Santosh Nagar, Hyderabad",Hyderabad,0,0,₹500
143,Dr. V Harish Kumar,"MBBS, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD)",5 Years Experience Overall  (4 years as specialist),Pulmonologist,"Narsingi, Hyderabad",Hyderabad,0,0,₹500
144,Dr. D.S. Sowjanya,"MBBS, MD - Pulmonary Medicine",15 Years Experience Overall  (7 years as specialist),Pulmonologist,"Kothapet, Hyderabad",Hyderabad,100%,(24 votes),₹500
145,Dr. Aditya Reddy.V,"MD - Pulmonary Medicine, MBBS",11 Years Experience Overall  (5 years as specialist),Pulmonologist,"Manikonda, Hyderabad",Hyderabad,0,0,₹550
146,Dr. B Ganapathi Reddy,"MBBS, MD - Pulmonary Medicine",13 Years Experience Overall  (3 years as specialist),Pulmonologist,"Chanda Nagar, Hyderabad",Hyderabad,100%,(11 votes),₹500
147,Dr. Ashok Vardhan K,"MBBS, MD - General Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",5 Years Experience Overall,Pulmonologist,"Vanasthalipuram, Hyderabad",Hyderabad,0,0,₹500
148,Dr. V N B Raju,"MBBS, MD - Pulmonary Medicine",11 Years Experience Overall  (5 years as specialist),Pulmonologist,"Nizampet, Hyderabad",Hyderabad,0,0,₹600
149,Dr. Pradyut Waghray,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - Tuberculosis & Respiratory Diseases/Medicine",33 Years Experience Overall,Pulmonologist,"Jubilee Hills, Hyderabad",Hyderabad,87%,(46 votes),₹1500
150,Dr. Qamar Hussain Ansari,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), FAMS - Fellowship of the Academy Medicine",48 Years Experience Overall  (37 years as specialist),Pulmonologist,"Jubilee Hills, Hyderabad",Hyderabad,0,0,₹800
151,Dr. B. Chaithanya,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Pulmonary Medicine",15 Years Experience Overall  (13 years as specialist),Pulmonologist,"Jubilee Hills, Hyderabad",Hyderabad,0,0,₹800
152,Dr. Chandrakant Tarke,"DNB - Pulmonary Medicine, MD - Pulmonary Medicine, MBBS",14 Years Experience Overall  (9 years as specialist),Pulmonologist,"Jubilee Hills, Hyderabad",Hyderabad,83%,(12 votes),₹800
153,Dr. Mallikarjun Rao,"MBBS, MD - Pulmonary Medicine",20 Years Experience Overall  (17 years as specialist),Pulmonologist,"Hyderguda, Hyderabad",Hyderabad,0,0,₹600
154,Dr. Tapaswi Krishna,"MBBS, MD - Pulmonary Medicine",12 Years Experience Overall,Pulmonologist,"Lakdikapul, Hyderabad",Hyderabad,100%,(15 votes),₹800
155,Dr. A Raghu Kanth,"MD - Pulmonary Medicine, MBBS",14 Years Experience Overall  (8 years as specialist),Pulmonologist,"Hitech City, Hyderabad",Hyderabad,93%,(14 votes),₹600
156,Dr. Vijay Kumar Chennamchetty,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall,Pulmonologist,"Jubilee Hills, Hyderabad",Hyderabad,58%,(19 votes),₹1000
157,Dr. K. Dayanand,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",23 Years Experience Overall  (22 years as specialist),Pulmonologist,"Secunderabad, Hyderabad",Hyderabad,95%,(19 votes),₹600
158,Dr. M.Ravindranath,"MBBS, MD - Pulmonary Medicine",17 Years Experience Overall  (11 years as specialist),Pulmonologist,"Dilsukhnagar, Hyderabad",Hyderabad,95%,(78 votes),₹500
159,Dr. Tumma Keerthi Kumari,"MBBS, Diploma in Tuberculosis & Respiratory Diseases (D.T.R.D.)",8 Years Experience Overall  (5 years as specialist),Pulmonologist,"Sindhi Colony, Hyderabad",Hyderabad,0,0,₹700
160,Dr. Mohd Abdul Quddus,"MBBS, DNB - Respiratory Diseases",15 Years Experience Overall  (8 years as specialist),Pulmonologist,"Kanchanbagh, Hyderabad",Hyderabad,0,0,₹300
161,Dr. Swetha Kasturi,"MBBS, MD - Pulmonary Medicine",15 Years Experience Overall  (8 years as specialist),Pulmonologist,"KPHB, Hyderabad",Hyderabad,100%,(156 votes),₹600
162,Dr. Sowmya Reddy P,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",10 Years Experience Overall  (4 years as specialist),Pulmonologist,"Ameerpet, Hyderabad",Hyderabad,0,0,₹600
163,Dr. V Dinesh Reddy,"MBBS, MD - Respiratory Medicine",13 Years Experience Overall  (6 years as specialist),Pulmonologist,"Secunderabad, Hyderabad",Hyderabad,0,0,₹600
164,Dr. Rikin Hasnani,"MD - Pulmonary Medicine, MBBS",10 Years Experience Overall  (4 years as specialist),Pulmonologist,"Chapel Road, Hyderabad",Hyderabad,0,0,₹550
165,Dr. C.A.Umesh Varma,"MBBS, MD - Pulmonary Medicine",11 Years Experience Overall  (7 years as specialist),Pulmonologist,"Manikonda, Hyderabad",Hyderabad,0,0,₹600
166,Dr. Sreenivas Chittipaaka,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",15 Years Experience Overall,Pulmonologist,"Boduppal, Hyderabad",Hyderabad,95%,(21 votes),₹600
167,Dr. Sudhir Prasad,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",21 Years Experience Overall  (19 years as specialist),Pulmonologist,"LB Nagar, Hyderabad",Hyderabad,100%,(16 votes),₹680
168,Dr. Rakesh Angala,MD - Pulmonary Medicine,4 Years Experience Overall,Pulmonologist,"Medchal, Hyderabad",Hyderabad,0,0,₹450
169,Dr. Niranjan Nomula,"DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine, MBBS",11 Years Experience Overall  (6 years as specialist),Pulmonologist,"Madinaguda, Hyderabad",Hyderabad,0,0,₹400
170,Dr. K Yugaveer,"MBBS, MD - Pulmonary Medicine, FCCP - Pulmonary Medicine",16 Years Experience Overall  (12 years as specialist),Pulmonologist,"Kukatpally, Hyderabad",Hyderabad,0,0,₹500
171,Dr. G Venkata Lakshmi,"MBBS, MD - Pulmonary Medicine",11 Years Experience Overall  (4 years as specialist),Pulmonologist,"Kukatpally, Hyderabad",Hyderabad,0,0,₹600
172,Dr. Anusha Kantheti,"MBBS, DNB - Respiratory Medicine",5 Years Experience Overall  (2 years as specialist),Pulmonologist,"Kukatpally, Hyderabad",Hyderabad,0,0,₹600
173,Dr. Prapulla Chandra,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (4 years as specialist),Pulmonologist,"Ameerpet, Hyderabad",Hyderabad,0,0,₹500
174,Dr. Sravan Kumar G,"MBBS, MD - Pulmonary Medicine",6 Years Experience Overall  (5 years as specialist),Pulmonologist,"Kukatpally, Hyderabad",Hyderabad,0,0,₹500
175,Dr. Ranganath D,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (6 years as specialist),Pulmonologist,"Kondapur, Hyderabad",Hyderabad,0,0,₹400
